@default
Id,天干,地支,名字
int,string,string,string
id,heavenly,branch,name
1,"甲","子","甲子"
2,"乙","丑","乙丑"
3,"丙","寅","丙寅"
4,"丁","卯","丁卯"
5,"戊","辰","戊辰"
6,"己","巳","己巳"
7,"庚","午","庚午"
8,"辛","未","辛未"
9,"壬","申","壬申"
10,"癸","酉","癸酉"
11,"甲","戌","甲戌"
12,"乙","亥","乙亥"
13,"丙","子","丙子"
14,"丁","丑","丁丑"
15,"戊","寅","戊寅"
16,"己","卯","己卯"
17,"庚","辰","庚辰"
18,"辛","巳","辛巳"
19,"壬","午","壬午"
20,"癸","未","癸未"
21,"甲","申","甲申"
22,"乙","酉","乙酉"
23,"丙","戌","丙戌"
24,"丁","亥","丁亥"
25,"戊","子","戊子"
26,"己","丑","己丑"
27,"庚","寅","庚寅"
28,"辛","卯","辛卯"
29,"壬","辰","壬辰"
30,"癸","巳","癸巳"
31,"甲","午","甲午"
32,"乙","未","乙未"
33,"丙","申","丙申"
34,"丁","酉","丁酉"
35,"戊","戌","戊戌"
36,"己","亥","己亥"
37,"庚","子","庚子"
38,"辛","丑","辛丑"
39,"壬","寅","壬寅"
40,"癸","卯","癸卯"
41,"甲","辰","甲辰"
42,"乙","巳","乙巳"
43,"丙","午","丙午"
44,"丁","未","丁未"
45,"戊","申","戊申"
46,"己","酉","己酉"
47,"庚","戌","庚戌"
48,"辛","亥","辛亥"
49,"壬","子","壬子"
50,"癸","丑","癸丑"
51,"甲","寅","甲寅"
52,"乙","卯","乙卯"
53,"丙","辰","丙辰"
54,"丁","巳","丁巳"
55,"戊","午","戊午"
56,"己","未","己未"
57,"庚","申","庚申"
58,"辛","酉","辛酉"
59,"壬","戌","壬戌"
60,"癸","亥","癸亥"
