@default,Country,Identity,,,,,,,,,,,Year,Month,SexagenaryCycle,Day,Year,Month,SexagenaryCycle,Day
Id,國家,身份,姓,名,全名,別名,字,姓別,父,母,養父,養母,出生年,出生月,出生干支日,出生日,死亡年,死亡月,死亡干支日,死亡日,存疑
int,int,int,string,string,string,string[],string,int,int,int,int[],int[],int,int,int,int,int,int,int,int,string[]
id,country,identity,family,name,fullName,alias,styleName,sex,father,mother,fosterFather,fosterMother,birthYear,birthMonth,birthSexagenaryCycle,birthDay,deathYear,deathMonth,deathSexagenaryCycle,deathDay,unansweredQuestion
100110001,1001,1,,"盤古","盤古",,,1
100110002,1001,1,,"天皇","天皇",,,1
100110003,1001,1,,"地皇","地皇",,,1
100110004,1001,1,,"人皇","人皇",,,1
100110005,1001,1,,"有巢","有巢",,,1
100110006,1001,1,,"燧人","燧人",,,1
100110007,1001,1,,"伏羲","伏羲",,,1
100110008,1001,1,,"神農","神農","炎帝",,1
100190011,1001,9,,"女媧","女媧",,,2
100210001,1002,1,"公孫","軒轅","公孫軒轅","黃帝",,1
100210002,1002,1,,"玄囂","玄囂","青陽&少昊",,1,100210001
100210003,1002,1,,"高陽","高陽","顓頊",,1
100210004,1002,1,,"高辛","高辛","嚳",,1
100210005,1002,1,,"摯","摯",,,1,100210004
100210006,1002,1,,"放勳","放勳","堯",,1,100210004
100210007,1002,1,,"重華","重華","虞舜",,1
200110001,2001,1,,"文命","文命","夏禹",,1
200110002,2001,1,,"啓","啓",,,1,200110001
200110003,2001,1,,"太康","太康",,,1,200110002
200110004,2001,1,,"中康","中康",,,1,200110002
200110005,2001,1,,"相","相",,,1,200110004
200110006,2001,1,,"少康","少康",,,1,200110005
200110007,2001,1,,"予","予",,,1,200110006
200110008,2001,1,,"槐","槐",,,1,200110007
200110009,2001,1,,"芒","芒",,,1,200110008
200110010,2001,1,,"泄","泄",,,1,200110009
200110011,2001,1,,"不降","不降",,,1,200110010
200110012,2001,1,,"扃","扃",,,1,200110010
200110013,2001,1,,"厪","厪",,,1,200110012
200110014,2001,1,,"孔甲","孔甲",,,1,200110011
200110015,2001,1,,"皋","皋",,,1,200110014
200110016,2001,1,,"發","發",,,1,200110015
